Latitude,Longitude,Elevation
46.99444,6.62083,1102.0
46.98,6.56639,1181.0
46.97166,6.52833,1148.0
46.89583,6.46028,950.0
46.83944,6.44694,1160.0
46.78527,6.45861,1142.0
46.78083,6.4575,1215.0
46.77444,6.45278,1255.0
46.75805,6.435,1381.0
46.72055,6.36667,1270.0
46.71444,6.355,1215.0
46.68278,6.26917,1209.0
46.59333,6.13,1356.0
46.59,6.12778,1350.0
46.58583,6.12722,1334.0
46.58305,6.12972,1303.0
46.53972,6.13528,1137.0
46.44944,6.08694,1245.0
46.42638,6.07111,1303.0
46.40972,6.11111,1328.0
46.38861,6.14833,535.0
46.38638,6.15167,529.0
46.37722,6.15722,498.0
46.37389,6.15833,484.0
46.37,6.15861,471.0
46.36305,6.15417,470.0
46.31194,6.12028,459.0
46.30555,6.115,464.0
46.29749,6.10611,478.0
46.26805,6.11806,430.0
46.26444,6.11917,423.0
46.26055,6.11722,424.0
46.25305,6.10778,419.0
46.24667,6.0825,430.0
46.24972,6.0725,453.0
46.25055,6.06083,467.0
46.24139,6.03,446.0
46.23389,6.00917,438.0
46.22194,5.98139,450.0
46.21249,5.96806,480.0
46.20944,5.96667,470.0
46.20528,5.96611,464.0
46.20194,5.96722,460.0
46.14694,5.99639,388.0
46.14805,6.12361,473.0
46.14944,6.13361,466.0
46.15361,6.15222,442.0
46.17083,6.18583,409.0
46.17333,6.18917,395.0
46.21833,6.24556,434.0
46.26194,6.27194,450.0
46.31551,6.24375,370.0
46.31972,6.22806,370.0
46.3225,6.22556,370.0
46.33389,6.23,370.0
46.34472,6.23639,370.0
46.355,6.24333,370.0
46.35777,6.24639,370.0
46.39417,6.29556,370.0
46.40138,6.31111,370.0
46.40694,6.32833,370.0
46.45305,6.49194,370.0
46.45777,6.51028,370.0
46.45916,6.52,370.0
46.46417,6.63361,370.0
46.45472,6.70278,370.0
46.4475,6.73778,370.0
46.43417,6.79139,370.0
46.43055,6.80028,370.0
46.42777,6.80306,370.0
46.41861,6.80833,370.0
46.41528,6.80944,370.0
46.40423,6.80702,370.0
46.37833,6.8,842.0
46.16611,6.78083,2116.0
46.1625,6.78111,1994.0
46.14805,6.78389,1699.0
46.14222,6.78806,1714.0
46.08805,6.87389,2425.0
46.05528,6.93306,1495.0
45.99944,7.00583,3158.0
45.99667,7.00861,3368.0
45.96194,7.03056,3175.0
45.93194,7.03805,3498.0
45.88555,6.99667,2920.0
45.87694,6.9875,2939.0
45.87222,6.98083,3543.0
45.86889,6.97306,3689.0
45.85833,6.94389,3383.0
45.85222,6.92222,3223.0
45.84944,6.90806,3330.0
45.85027,6.89611,3612.0
45.85611,6.875,3876.0
45.85583,6.86972,3755.0
45.83917,6.81861,3788.0
45.83138,6.80889,3229.0
45.82722,6.80722,3021.0
45.79666,6.79972,2981.0
45.78067,6.79897,3592.0
45.73444,6.80778,2584.0
45.72778,6.80972,2991.0
45.72194,6.81417,3023.0
45.59694,6.96944,2291.0
45.53333,6.98972,3484.0
45.51833,6.99944,3223.0
45.51611,7.00278,3493.0
45.47686,7.08916,2815.0
45.43055,7.14694,2705.0
45.3775,7.15861,3155.0
45.26222,7.12917,3384.0
45.25777,7.12778,3150.0
45.255,7.125,3038.0
45.22305,7.06472,3050.0
45.17944,6.93944,3146.0
45.14972,6.82694,2699.0
45.15639,6.81639,2543.0
45.16805,6.77194,2651.0
45.16833,6.76083,2986.0
45.15028,6.6975,2626.0
45.14388,6.67583,2702.0
45.12611,6.63778,2261.0
45.124,6.63412,2403.0
45.11944,6.62722,2669.0
45.11388,6.62167,2555.0
45.11014,6.61976,2673.0
45.03999,6.66167,1959.0
44.91944,6.74694,2395.0
44.91722,6.75111,2435.0
44.90555,6.77528,2333.0
44.87416,6.84083,2448.0
44.86666,6.85778,2679.0
44.86028,6.89222,2361.0
44.85916,6.90444,2696.0
44.86194,6.91778,2776.0
44.87138,6.93639,2704.0
44.87,6.94833,2700.0
44.86583,6.96444,2256.0
44.86278,6.97389,2505.0
44.85278,7.00278,2792.0
44.84861,7.01,2713.0
44.83138,7.03167,2643.0
44.74472,7.02833,2487.0
44.69167,6.98028,2703.0
44.68472,6.97056,2555.0
44.66472,6.95083,2814.0
44.54083,6.85278,2824.0
44.51778,6.85361,2994.0
44.37666,6.87694,2371.0
44.3736,6.87889,2454.0
44.28416,6.97639,2930.0
44.24694,7.03139,2354.0
44.13194,7.34833,2821.0
44.1311,7.35333,2573.0
44.12555,7.41889,2348.0
44.13861,7.46639,2042.0
44.15611,7.52028,1955.0
44.18028,7.61472,1766.0
44.17083,7.66222,2121.0
44.14472,7.65778,1736.0
44.13722,7.65833,2082.0
44.1311,7.66167,2131.0
44.12277,7.66889,2354.0
44.09131,7.70905,2180.0
44.07944,7.70833,1695.0
44.07222,7.70417,1618.0
44.00833,7.66,1955.0
44.00527,7.65722,1910.0
43.96472,7.59833,996.0
43.88694,7.50111,474.0
43.88166,7.495,416.0
43.87778,7.49333,699.0
43.86944,7.49222,905.0
43.86222,7.49333,933.0
43.84944,7.49861,1165.0
43.82111,7.5125,1083.0
43.78861,7.52806,253.0
43.79083,7.51972,217.0
43.79222,7.50778,161.0
43.78278,7.48417,59.0
43.75752,7.43929,322.0
43.76028,7.43833,383.0
43.76917,7.4325,860.0
43.77139,7.42944,958.0
43.77305,7.42472,1109.0
43.7725,7.42,1138.0
43.77055,7.41611,951.0
43.76138,7.40306,519.0
43.7486,7.38778,441.0
43.74555,7.38639,534.0
43.74194,7.38639,575.0
43.72755,7.39161,226.0
43.70972,7.31861,167.0
43.70444,7.25472,21.0
43.69888,7.23889,30.0
43.66306,7.15861,26.0
43.65805,7.15278,5.0
43.57222,7.07472,23.0
43.43583,6.89222,0.0
43.43333,6.88417,136.0
43.42416,6.84639,67.0
43.42278,6.79417,46.0
43.3111,6.63639,6.0
43.28777,6.6375,0.0
43.28722,6.68444,0.0
43.28555,6.68944,0.0
43.28139,6.69694,0.0
43.27555,6.70028,0.0
43.27139,6.69972,0.0
43.26805,6.69778,0.0
43.185,6.64167,7.0
43.1925,6.59944,50.0
43.18916,6.5275,47.0
43.16306,6.40611,228.0
43.12861,6.18694,9.0
43.12555,6.17889,3.0
43.12138,6.17222,3.0
43.11556,6.16667,2.0
43.11222,6.16472,2.0
43.10361,6.16194,0.0
43.06722,6.15722,0.0
43.05055,6.16528,0.0
43.05583,6.13778,-2.0
43.06444,6.11556,0.0
43.10139,6.06222,48.0
43.11833,5.95556,30.0
43.09083,5.93667,0.0
43.08722,5.93722,0.0
43.08361,5.92972,0.0
43.05972,5.87139,0.0
43.0575,5.86222,76.0
43.06,5.83861,157.0
43.06305,5.82917,131.0
43.0825,5.78111,0.0
43.08805,5.77611,0.0
43.09194,5.77583,0.0
43.10056,5.7775,0.0
43.105,5.78361,0.0
43.10833,5.79139,0.0
43.115,5.8175,44.0
43.12028,5.81556,9.0
43.18851,5.68923,40.0
43.1901,5.68134,89.0
43.19167,5.67167,69.0
43.21,5.52,3.0
43.21777,5.39805,302.0
43.21916,5.38028,143.0
43.22194,5.36361,311.0
43.22639,5.35667,143.0
43.23111,5.35111,57.0
43.23528,5.35111,0.0
43.24777,5.35556,0.0
43.25361,5.36083,0.0
43.25833,5.36722,0.0
43.26472,5.37222,0.0
43.26888,5.37389,32.0
43.27667,5.37389,110.0
43.32833,5.36389,25.0
43.33527,5.36167,31.0
43.35194,5.34861,31.0
43.36138,5.33556,40.0
43.36666,5.32222,82.0
43.36749,5.31611,69.0
43.36556,5.30639,71.0
43.35638,5.27222,173.0
43.34833,5.25833,128.0
43.34528,5.25,140.0
43.33944,5.22306,139.0
43.33861,5.21306,148.0
43.33694,5.09639,46.0
43.34139,5.05778,48.0
43.3475,5.03889,38.0
43.35139,5.03083,39.0
43.37766,5.04228,62.0
43.3815,5.04044,95.0
43.38866,5.04078,80.0
43.39117,5.04194,73.0
43.394,5.04561,51.0
43.40183,5.06394,-2.0
43.4045,5.07478,0.0
43.40466,5.07778,0.0
43.40283,5.09228,0.0
43.41611,5.14222,0.0
43.41722,5.15139,0.0
43.43388,5.18861,0.0
43.46417,5.23056,7.0
43.4675,5.2325,22.0
43.49027,5.23083,19.0
43.49611,5.22722,11.0
43.55666,5.03139,23.0
43.55389,5.02306,0.0
43.55,5.02111,0.0
43.51666,5.01083,0.0
43.51222,5.00972,0.0
43.48888,5.01667,0.0
43.48416,5.02278,0.0
43.4825,5.02806,0.0
43.48083,5.04528,0.0
43.47694,5.0525,0.0
43.47138,5.0575,0.0
43.45861,5.03956,65.0
43.45427,5.04072,134.0
43.44744,5.04122,80.0
43.43994,5.04056,54.0
43.43761,5.03972,49.0
43.43477,5.03572,68.0
43.42827,5.01739,23.0
43.42527,4.99472,49.0
43.42577,4.99156,42.0
43.42894,4.98856,57.0
43.425,4.95778,0.0
43.43278,4.93556,1.0
43.43527,4.925,4.0
43.43556,4.91917,6.0
43.42388,4.87611,0.0
43.41333,4.85361,3.0
43.41139,4.83006,1.0
43.40655,4.82839,2.0
43.40422,4.83339,3.0
43.40322,4.83989,0.0
43.39989,4.84256,0.0
43.39138,4.84489,1.0
43.39022,4.83939,4.0
43.39589,4.82272,0.0
43.39922,4.81506,3.0
43.41422,4.78389,0.0
43.42361,4.75,1.0
43.4286,4.74389,-2.0
43.43527,4.74083,0.0
43.43861,4.74083,1.0
43.45139,4.74194,1.0
43.48694,4.75,2.0
43.49528,4.75083,4.0
43.50722,4.75111,2.0
43.51805,4.74917,0.0
43.52499,4.74667,2.0
43.53722,4.73944,2.0
